"Techstack","Links"
"Go, MongoDB","https://example.com/go-mongodb-portfolio"
"Spring Boot, PostgreSQL","https://example.com/spring-boot-postgresql-portfolio"
"TypeScript, NestJS, PostgreSQL","https://example.com/nestjs-typescript-portfolio"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Game Development, Unity, Unreal Engine","https://example.com/game-development-unity-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Data Science, Pandas, Matplotlib","https://example.com/data-science-pandas-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"UI/UX Design, Adobe XD, Figma","https://example.com/ui-ux-design-adobe-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Python, Flask, SQLite","https://example.com/python-flask-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Business Intelligence, Power BI, Tableau","https://example.com/business-intelligence-powerbi-portfolio"
"AR/VR Development, Unity, ARKit","https://example.com/ar-vr-development-unity-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"DevOps, Kubernetes, Docker","https://example.com/devops-kubernetes-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
